# This file is part of QOBLIB - Quantum Optimization Benchmarking Library
# Licensed under the Creative Commons Attribution 4.0 International License.
# You may obtain a copy of the License at
# 
#     https://creativecommons.org/licenses/by/4.0/
# 
# You are free to share and adapt the material for any purpose, even commercially,
# as long as you give appropriate credit and indicate if changes were made.

# Node Net
1950   1
  5   1
2481   1
101   1
1351   1
 32   1
550   2
701   2
301   2
 51   2
2479   2
1401   2
1851   3
1500   3
2476   3
850   3
2485   3
1050   3
