# This file is part of QOBLIB - Quantum Optimization Benchmarking Library
# Licensed under the Creative Commons Attribution 4.0 International License.
# You may obtain a copy of the License at
# 
#     https://creativecommons.org/licenses/by/4.0/
# 
# You are free to share and adapt the material for any purpose, even commercially,
# as long as you give appropriate credit and indicate if changes were made.

# Node Net
3572   1
 32   2
1321   3
3361   4
3546   5
 26   6
2641   7
1200   8
2100   9
1860  10
2161  11
3587  12
2940  13
2941  14
